"blame","v.","to hold responsible"
"blanket","n.","a cloth cover used to keep warm"
"bleed","v.","to lose blood"
"blind","ad.","not able to see"
"block","v.","to stop something from being done"
"block","v.","to prevent movement"
"blood","n.","red fluid in the body"
"blue","ad.","having the color like that of a clear sky"
"boat","n.","something built to travel on water that carries people or goods"
"body","n.","all of a person or animal"
"body","n.","the remains of a person or animal"
"boil","v.","to heat a liquid until it becomes very hot"
"bomb","n.","a device that explodes with great force"
"bomb","v.","to attack or destroy with bombs"
"bone","n.","the hard material in the body"
"book","n.","a long written work for reading"
"border","n.","a dividing line between nations"
"born","v.","to come to life"
"born","v.","to come into existence"
"borrow","v.","to take as a loan"
"bottom","ad.","the lowest part of something"
"box","n.","something to put things into"
"boy","n.","a young male person"
"boycott","v.","to refuse to take part in or deal with"
"brave","ad.","having no fear"
"bread","n.","a food made from grain"
"break","v.","to divide into parts by force"
"break","v.","to destroy"
"breathe","v.","to take air into the body and let it out again"
"brief","ad.","short"
"brief","ad.","not long"
"bright","ad.","giving much light"
"bright","ad.","strong and clear in color"
"bring","v.","to come with something"
"broadcast","n.","a radio or television program"
"brother","n.","a male with the same father or mother as another person"
"brown","ad.","having the color like that of coffee"
"budget","n.","a spending plan"
"build","v.","to join materials together to make something"
"bullet","n.","a small piece of metal shot from a gun"
"burn","v.","to be on fire"
"burn","v.","to destroy or damage by fire"
"burst","v.","to break open suddenly"
"bury","v.","to put into the ground and cover with earth"
"bus","n.","a public vehicle to carry people"
"business","n.","one's work"
"business","n.","buying and selling to earn money"
"business","n.","trade"
"busy","ad.","doing something"
"busy","ad.","very active"
"but","conj.","however"
"but","conj.","other than"
"but","conj.","yet"
"by","conj.","near"
"by","conj.","at"
"by","conj.","next to"
"by","conj.","from"
"by","conj.","not later than"
"cabinet","n.","a group of ministers that helps lead a government"
"call","n.","to ask for or request"
"call","v.","to give a name to"
"calm","ad.","quiet"
"calm","ad.","peaceful"
"calm","ad.","opposite tense"
"camera","n.","a device for taking pictures"
"camp","n.","a place with temporary housing"
"campaign","n.","a competition by opposing political candidates seeking support from voters"
"campaign","n.","a connected series of military actions during a war"
"can","v.","to be able to"
"can","v.","to have the right to"
"cancel","v.","to end"
"cancel","v.","to stop"
"cancer","n.","a disease in which dangerous cells grow quickly and destroy parts of the body"
"candidate","n.","a person who seeks or is nominated for an office or an honor"
"capital","n.","the official center of a government"
"capital","n.","the city where a country's government is"
"capitalism","n.","an economic system in which the production of most goods and services is owned and operated for profit by private citizens or companies"
"capture","v.","to make a person or animal a prisoner"
"capture","v.","to seize or take by force"
"capture","v.","to get control of"
"car","n.","a vehicle with wheels used to carry people"
"car","n.","an automobile"
"car","n.","a part of a train"
"care","v.","to like"
"care","v.","to protect"
"care","v.","to feel worry or interest"
"careful","ad.","acting safely"
"careful","ad.","with much thought"
"carry","v.","to take something or someone from one place to another"
"case (court)","n.","a legal action"
"case (medical)","n.","an incident of disease"
"cat","n.","a small animal that often lives with humans"
"catch","v.","to seize after a chase"
"catch","v.","to stop and seize with the hands"
"cause","n.","the thing or person that produces a result"
"cause","v.","to make happen"
"celebrate","v.","to honor a person or event with special activities"
"center","n.","the middle of something"
"center","n.","the place in the middle"
"center","n.","a place that is the main point of an activity"
"century","n.","one hundred years"
"ceremony","n.","an act or series of acts done in a special way established by tradition"
"chairman","n.","a person leading a meeting or an organized group"
"champion","n.","the best"
"champion","n.","the winner"
"chance","n.","a possibility of winning or losing or that something will happen"
"change","v.","to make different"
"change","v.","to become different"
"charge","n.","a statement in which someone is accused of something"
"chase","v.","to run or go after someone or something"
"cheat","v.","to get by a trick"
"cheat","v.","to steal from"
"cheer","v.","to shout approval or praise"
"chemical","n.","elements found in nature or made by people"
"chemical","n.","substances used in the science of chemistry"
"chief","ad.","leading"
"chief","ad.","most important"
"chief","n.","the head or leader of a group"
"child","n.","a baby"
"child","n.","a boy or girl"
"children","n.","more than one child"
"choose","v.","to decide between two or more"
"citizen","n.","a person who is a member of a country by birth or by law"
"city","n.","any important large town"
"civilian","ad.","not military"
"claim","v.","to say something as a fact"
"clash","n.","a battle"
"clash","v.","to fight or oppose"
"clean","ad.","free from dirt or harmful substances"
"clean","v.","to make pure"
"clear","ad.","easy to see or see through"
"clear","ad.","easily understood"
"clergy","n.","a body of officials within a religious organization"
"climate","n.","the normal weather conditions of a place"
"climb","v.","to go up or down something by using the feet and sometimes the hands"
"clock","n.","a device that measures and shows time"
"close","ad.","near to"
"close","v.","to make something not open"
"clothes","n.","what people wear"
"cloud","n.","a mass of fog high in the sky"
"coal","n.","a solid black substance used as fuel"
"coast","n.","land on the edge of the ocean"
"coffee","n.","a drink made from the plant of the same name"
"cold","ad.","not warm"
"cold","ad.","having or feeling great coolness or a low temperature"
"collect","v.","to bring or gather together in one place"
"collect","v.","to demand and receive"
"college","n.","a small university"
"colony","n.","land controlled by another country or government"
"combine","v.","to mix or bring together"
"come","v.","to move toward"
"come","v.","to arrive"
"command","v.","to order"
"command","v.","to have power over something"
"comment","v.","to say something about"
"comment","v.","to express an opinion about something"
"committee","n.","a group of people given special work"
"common","ad.","usual"
"common","ad.","same for all"
